feature,coef,odds_ratio,support_share
cuisine: pizza,-0.6786244778384656,0.5073143347610067,0.09918198979235125
cuisine: american (traditional),-0.7661944526783177,0.46477844343198405,0.11380829196672027
good for groups,-0.778212749247547,0.4592260303654191,0.533035027616584
cuisine: chicken wings,-0.8224700504068593,0.43934510858262454,0.041473816681815004
cuisine: burgers,-0.8302236657433448,0.4359517679399427,0.07880864154373209
parking valet,-0.8881942776254961,0.4113979529353774,0.01761868139551143
cuisine: steakhouses,-0.8899171131461425,0.41068979212639845,0.02105851919177795
cuisine: tex-mex,-0.8989294924370643,0.4070051286810219,0.012850450954345243
state: AB,-1.1375758915227665,0.32059523825458663,0.04496958679997203
cuisine: chinese,-1.4065353678118437,0.24499061683294962,0.044312382017758514
ambience: touristy,-1.464080702911752,0.23129051847481116,0.0044186534293504855
ambience: upscale,-1.9555123811759714,0.1414919603006937,0.006292386212682654
