threshold,TP,FP,TN,FN,precision,recall,f1,accuracy
0.72,464,1987,14958,470,0.18931048551611587,0.49678800856531047,0.2741506646971935,0.8625762067229711
0.73,447,1826,15119,487,0.19665640123185218,0.4785867237687366,0.27876520112254444,0.870630348453493
0.74,427,1666,15279,507,0.2040133779264214,0.45717344753747324,0.2821275189957053,0.8784607640248336
0.75,403,1543,15402,531,0.20709146968139774,0.43147751605995716,0.2798611111111111,0.8839979864645674
0.76,376,1394,15551,558,0.21242937853107344,0.4025695931477516,0.2781065088757396,0.8908216343195928
0.77,355,1243,15702,579,0.22215269086357947,0.38008565310492504,0.2804107424960506,0.8980927344929805
0.78,338,1111,15834,596,0.23326432022084195,0.3618843683083512,0.28367603860679813,0.904524861569439
0.79,304,1000,15945,630,0.2331288343558282,0.32548179871520344,0.2716711349419124,0.9088315901336764
0.8,277,863,16082,657,0.24298245614035088,0.2965738758029979,0.26711668273866923,0.9149840595111584
0.81,250,733,16212,684,0.254323499491353,0.2676659528907923,0.2608242044861763,0.9207450081100733
0.8200000000000001,224,655,16290,710,0.25483503981797495,0.2398286937901499,0.2471042471042471,0.9236534481794284
0.8300000000000001,201,550,16395,733,0.26764314247669774,0.215203426124197,0.23857566765578636,0.9282398344426422
0.8400000000000001,181,464,16481,753,0.2806201550387597,0.1937901498929336,0.2292590246991767,0.9319313160691314
0.85,158,379,16566,776,0.2942271880819367,0.16916488222698073,0.21481985044187626,0.9353990715364394
0.86,129,314,16631,805,0.291196388261851,0.1381156316916488,0.18736383442265794,0.9374126069690698
0.87,105,269,16676,829,0.2807486631016043,0.11241970021413276,0.16055045871559634,0.9385871693047709
0.88,86,217,16728,848,0.2838283828382838,0.09207708779443255,0.13904607922392886,0.9404329101180156
0.89,70,182,16763,864,0.2777777777777778,0.07494646680942184,0.11804384485666104,0.941495609374126
0.9,57,155,16790,877,0.2688679245283019,0.061027837259100645,0.09947643979057591,0.9422786509312602
0.91,48,115,16830,886,0.294478527607362,0.05139186295503212,0.08751139471285324,0.9440125286649141
0.92,38,83,16862,896,0.3140495867768595,0.04068522483940043,0.07203791469194312,0.9452430225404105
0.93,29,49,16896,905,0.3717948717948718,0.031049250535331904,0.05731225296442688,0.9466413110352928
0.9400000000000001,18,31,16914,916,0.3673469387755102,0.019271948608137045,0.03662258392675483,0.9470328318138599
0.9500000000000001,13,21,16924,921,0.38235294117647056,0.013918629550321198,0.026859504132231406,0.9473124895128363
0.9600000000000001,9,16,16929,925,0.36,0.009635974304068522,0.018769551616266946,0.9473684210526315
0.97,6,3,16942,928,0.6666666666666666,0.006423982869379015,0.012725344644750796,0.9479277364505845
0.98,1,0,16945,933,1.0,0.0010706638115631692,0.0021390374331550803,0.9478158733709939
0.99,0,0,16945,934,0.0,0.0,0.0,0.9477599418311986
