feature,coef,odds_ratio,support_share
cuisine: vegetarian,0.0,1.0,0.016192407187303363
attire casual,0.0,1.0,0.5353562189750402
attire dressy,0.0,1.0,0.011214430539047752
state LA,0.0,1.0,0.07275396769908411
cuisine: indian,0.0,1.0,0.011717821436062365
state infrequent sklearn,0.0,1.0,
cuisine: greek,0.0,1.0,0.010892819688177305
cuisine: breweries,0.0,1.0,0.012067398447878068
wifi no,-0.0021531545348509804,0.9978491618395722,0.2637069146332937
cuisine: pubs,-0.002419805109194718,0.9975831202591058,0.025463189540655806
cuisine: sushi bars,-0.005086318991777494,0.9949265944254689,0.02400894917150248
cuisine: asian fusion,-0.013422800775442107,0.9866668832959664,0.021631825491155703
cuisine: japanese,-0.01597534506436525,0.9841515839501286,0.02558903726490946
cuisine: american (new),-0.018318188349368516,0.9818485698741978,0.08525484164161365
cuisine: barbers,-0.02274926403097602,0.9775075493512304,0.023449625952597357
cuisine: beer,-0.029048676740797644,0.971369180229988,0.03374117318045165
cuisine: wine & spirits,-0.029048676740797644,0.971369180229988,0.03374117318045165
state IN,-0.030087826699410247,0.9703603062630096,0.0786688107390058
cuisine: hot dogs,-0.03551445706990653,0.9651087814840215,0.010822904285814165
cuisine: southern,-0.039077141528065906,0.9616765210885716,0.013815283506956582
alcohol Unknown,-0.04156781940553983,0.9592842750460446,0.39697965461791235
takeout,-0.04980344639425696,0.9514164104497678,0.7289240019576313
cuisine: hair salons,-0.05661602470657243,0.9449568397944619,0.01510172691043837
cuisine: seafood,-0.09136372549079187,0.9126856834713474,0.04948612179263091
state AZ,-0.10484913498954194,0.9004603603011028,0.05288401034747955
parking lot,-0.11068165993471157,0.8952236891403306,0.4268894637488639
cuisine: breakfast & brunch,-0.1252662108716139,0.882262003582683,0.08724043906872685
accepts credit cards,-0.1374806116199921,0.8715512478001356,0.8234775921135427
cuisine: soup,-0.13819565207342135,0.8709282761522293,0.014836048381458435
state ID,-0.16396206388461435,0.8487742204662222,0.02641403901279452
delivery,-0.21284374334804662,0.8082824268552865,0.4428581416486052
wifi Unknown,-0.24002710829576762,0.7866065372148645,0.3853876809061036
cuisine: cajun/creole,-0.2693033459605054,0.7639114910325578,0.012906383276235755
cuisine: coffee & tea,-0.30917505864086126,0.7340522565875383,0.0937285884080263
state DE,-0.316947397184828,0.7283690683814814,0.017087324337551564
has tv,-0.317024583595529,0.728312850357089,0.47734041809410616
state PA,-0.3480453098422289,0.7060668837104982,0.2368454170453751
cuisine: chicken shop,-0.3680857989696894,0.6920578012950619,0.01129832902188352
parking garage,-0.37203829350949036,0.6893278452364198,0.04021533943927847
cuisine: lounges,-0.46395819059818477,0.6287898432447491,0.016695798084317974
cuisine: sports bars,-0.4656901175554128,0.6277017676704916,0.029504299797245333
cuisine: ice cream & frozen yogurt,-0.47421848104742603,0.6223712613874042,0.03715304481577292
cuisine: convenience stores,-0.4890104891383612,0.6132328946755129,0.026833531426973364
state NJ,-0.504400448036475,0.6038675168702956,0.06134377403341956
cuisine: burgers,-0.5070843029445181,0.6022489969791391,0.07880864154373209
review count (log1p),-0.594262424877338,0.5519695347616215,1.0
good for groups,-0.5988126614935051,0.549463648285365,0.533035027616584
cuisine: bagels,-0.6345326554539116,0.5301832086586789,0.010319513388799552
attire infrequent sklearn,-0.6423894180356716,0.5260340060570089,
cuisine: tex-mex,-0.6918983895018078,0.5006247855611847,0.012850450954345243
cuisine: american (traditional),-0.7000314679852436,0.49656967749826286,0.11380829196672027
cuisine: chicken wings,-0.7347694119840046,0.47961603993617036,0.041473816681815004
parking valet,-0.7724991260670009,0.46185738498351175,0.01761868139551143
cuisine: donuts,-0.7787099228417367,0.4589977720560607,0.015339439278473048
cuisine: steakhouses,-0.8419278030514373,0.4308790722592288,0.02105851919177795
cuisine: pizza,-0.9243427647650081,0.3967921191566457,0.09918198979235125
state AB,-1.0171770974831136,0.36161430264078454,0.04496958679997203
cuisine: grocery,-1.0351943555916907,0.35515734740024574,0.04389288960357967
alcohol full bar,-1.1285729507622684,0.32349456986480296,0.22337971055023423
cuisine: automotive,-1.1417451946352761,0.3192613621290569,0.010683073481087884
cuisine: diners,-1.154363974357265,0.3152579853142283,0.020890722226106412
cuisine: chinese,-1.5678440669045157,0.20849419770061947,0.044312382017758514
cuisine: fast food,-1.6374426483130595,0.194476752339709,0.0904984968188492
cuisine: drugstores,-3.9090541789243365,0.0200594647566725,0.01933860029364469
